25,32,http://scholar.google.com/scholar?hl=en&cites=16315581196462685033&hl=en&scipsc=1&q=-author:%27S%20Suzuki%27+-author:%27A%20Crane%27+-author:%27V%20Anirudhan%27+-author:%27C%20Barill%C3%A0%27+-author:%27N%20Matthias%27+-author:%27S%20Randell%27+-author:%27A%20Rab%27+-author:%27E%20Sorscher%27+-author:%27J%20Kerschner%27+-author:%27S%20Yin%27+-author:%27A%20Harris%27+-author:%27M%20Mendel%27+-author:%27K%20Kim%27+-author:%27L%20Zhang%27+-author:%27A%20Conway%27+-author:%27B%20Davis%27 http://scholar.google.com/scholar?hl=en&cites=16315581196462685033&hl=en
19,22,http://scholar.google.com/scholar?hl=en&cites=1935133628938395532&hl=en&scipsc=1&q=-author:%27S%20Leir%27+-author:%27S%20Yin%27+-author:%27J%20Kerschner%27+-author:%27W%20Cosme%27+-author:%27A%20Harris%27 http://scholar.google.com/scholar?hl=en&cites=1935133628938395532&hl=en
18,19,http://scholar.google.com/scholar?hl=en&cites=14172164150878675638&hl=en&scipsc=1&q=-author:%27S%20Yin%27+-author:%27G%20Ray%27+-author:%27J%20Kerschner%27+-author:%27S%20Hao%27+-author:%27A%20Perez%27+-author:%27M%20Drumm%27+-author:%27J%20Browne%27+-author:%27S%20Leir%27+-author:%27M%20Longworth%27+-author:%27A%20Harris%27 http://scholar.google.com/scholar?hl=en&cites=14172164150878675638&hl=en
10,15,http://scholar.google.com/scholar?hl=en&cites=2610508254920954531&hl=en&scipsc=1&q=-author:%27H%20Swahn%27+-author:%27J%20Ebron%27+-author:%27K%20Lamar%27+-author:%27S%20Yin%27+-author:%27J%20Kerschner%27+-author:%27M%20NandyMazumdar%27+-author:%27C%20Coppola%27+-author:%27E%20Mendenhall%27+-author:%27S%20Leir%27+-author:%27A%20Harris%27 http://scholar.google.com/scholar?hl=en&cites=2610508254920954531&hl=en
9,12,http://scholar.google.com/scholar?hl=en&cites=314623938559676226&hl=en&scipsc=1&q=-author:%27J%20Kerschner%27+-author:%27A%20Paranjapye%27+-author:%27S%20Yin%27+-author:%27D%20Skander%27+-author:%27G%20Bebek%27+-author:%27S%20Leir%27+-author:%27A%20Harris%27 http://scholar.google.com/scholar?hl=en&cites=314623938559676226&hl=en
5,12,http://scholar.google.com/scholar?hl=en&cites=1566651013957646734&hl=en&scipsc=1&q=-author:%27M%20NandyMazumdar%27+-author:%27S%20Yin%27+-author:%27A%20Paranjapye%27+-author:%27J%20Kerschner%27+-author:%27H%20Swahn%27+-author:%27A%20Ge%27+-author:%27S%20Leir%27+-author:%27A%20Harris%27 http://scholar.google.com/scholar?hl=en&cites=1566651013957646734&hl=en
10,12,http://scholar.google.com/scholar?hl=en&cites=7257331042837613367&hl=en&scipsc=1&q=-author:%27J%20Browne%27+-author:%27S%20Leir%27+-author:%27S%20Yin%27+-author:%27A%20Harris%27 http://scholar.google.com/scholar?hl=en&cites=7257331042837613367&hl=en
7,8,http://scholar.google.com/scholar?hl=en&cites=14870815335955536765&hl=en&scipsc=1&q=-author:%27M%20NandyMazumdar%27+-author:%27A%20Paranjapye%27+-author:%27J%20Browne%27+-author:%27S%20Yin%27+-author:%27S%20Leir%27+-author:%27A%20Harris%27 http://scholar.google.com/scholar?hl=en&cites=14870815335955536765&hl=en
7,9,http://scholar.google.com/scholar?hl=en&cites=15629183454941967333&hl=en&scipsc=1&q=-author:%27S%20Leir%27+-author:%27S%20Yin%27+-author:%27J%20Kerschner%27+-author:%27S%20Xia%27+-author:%27S%20Ahmadi%27+-author:%27C%20Bear%27+-author:%27A%20Harris%27 http://scholar.google.com/scholar?hl=en&cites=15629183454941967333&hl=en
2,3,http://scholar.google.com/scholar?hl=en&cites=12474885104190281862&hl=en&scipsc=1&q=-author:%27S%20Yin%27+-author:%27M%20NandyMazumdar%27+-author:%27A%20Paranjapye%27+-author:%27A%20Harris%27 http://scholar.google.com/scholar?hl=en&cites=12474885104190281862&hl=en
0,1,http://scholar.google.com/scholar?hl=en&cites=15030189706476661840&hl=en&scipsc=1&q=-author:%27J%20Kerschner%27+-author:%27A%20Paranjapye%27+-author:%27M%20NandyMazumdar%27+-author:%27S%20Yin%27+-author:%27S%20Leir%27+-author:%27A%20Harris%27 http://scholar.google.com/scholar?hl=en&cites=15030189706476661840&hl=en
Sum of GC: 112
Sum of total: 145
